Accession,Description,Length,Part_1,Part_2,Part_3
PP782489.1,"1446. Mamastrovirus 1 isolate GC-086/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1446. Mamastrovirus 1 isolate GC-086/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782488.1,"1447. Mamastrovirus 1 isolate GC-084/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1447. Mamastrovirus 1 isolate GC-084/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782487.1,"1448. Mamastrovirus 1 isolate GC-081/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1448. Mamastrovirus 1 isolate GC-081/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782486.1,"1449. Mamastrovirus 1 isolate GC077/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1449. Mamastrovirus 1 isolate GC077/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP782485.1,"1450. Mamastrovirus 1 isolate GC-075/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1450. Mamastrovirus 1 isolate GC-075/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP779607.1,"1451. Mamastrovirus 1 isolate GC-074/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1451. Mamastrovirus 1 isolate GC-074/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP779606.1,"1452. Mamastrovirus 1 isolate GC-060/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1452. Mamastrovirus 1 isolate GC-060/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP779605.1,"1453. Mamastrovirus 1 isolate GC-048/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1453. Mamastrovirus 1 isolate GC-048/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP779604.1,"1454. Mamastrovirus 1 isolate GC-044/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1454. Mamastrovirus 1 isolate GC-044/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP779603.1,"1455. Mamastrovirus 1 isolate GC-043/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1455. Mamastrovirus 1 isolate GC-043/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP779602.1,"1456. Mamastrovirus 1 isolate GC-040/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1456. Mamastrovirus 1 isolate GC-040/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP779601.1,"1457. Mamastrovirus 1 isolate GC-036/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1457. Mamastrovirus 1 isolate GC-036/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP779600.1,"1458. Mamastrovirus 1 isolate GC-035/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1458. Mamastrovirus 1 isolate GC-035/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP779599.1,"1459. Mamastrovirus 1 isolate GC-034/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1459. Mamastrovirus 1 isolate GC-034/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP779598.1,"1460. Mamastrovirus 1 isolate GC-029/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1460. Mamastrovirus 1 isolate GC-029/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP779597.1,"1461. Mamastrovirus 1 isolate GC-024/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1461. Mamastrovirus 1 isolate GC-024/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP779596.1,"1462. Mamastrovirus 1 isolate GC-023/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1462. Mamastrovirus 1 isolate GC-023/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP779595.1,"1463. Mamastrovirus 1 isolate GC-022/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",673 bp linear RNA,"1463. Mamastrovirus 1 isolate GC-022/2022/KOR RNA-dependent RNA polymerase (ORF1b) and capsid precursor protein (ORF2) genes, partial cds",,
PP763758.1,"1464. Goose astrovirus 1 isolate AAstV/Goose/CHN/2023/C102, complete genome","7,295 bp linear RNA","1464. Goose astrovirus 1 isolate AAstV/Goose/CHN/2023/C102, complete genome",,
PP731851.1,"1465. Mamastrovirus 3 isolate PAstV/LUVAS/R130/2023 RNA-dependent RNA polymerase gene, partial cds",414 bp linear RNA,"1465. Mamastrovirus 3 isolate PAstV/LUVAS/R130/2023 RNA-dependent RNA polymerase gene, partial cds",,
PP731850.1,"1466. Mamastrovirus 3 isolate PAstV/LUVAS/R21/2023 RNA-dependent RNA polymerase gene, partial cds",430 bp linear RNA,"1466. Mamastrovirus 3 isolate PAstV/LUVAS/R21/2023 RNA-dependent RNA polymerase gene, partial cds",,
PP731849.1,"1467. Mamastrovirus 3 isolate PAstV/LUVAS/R18/2023 RNA-dependent RNA polymerase gene, partial cds",406 bp linear RNA,"1467. Mamastrovirus 3 isolate PAstV/LUVAS/R18/2023 RNA-dependent RNA polymerase gene, partial cds",,
PP731848.1,"1468. Mamastrovirus 3 isolate PAstV/LUVAS/K7/2023 RNA-dependent RNA polymerase gene, partial cds",405 bp linear RNA,"1468. Mamastrovirus 3 isolate PAstV/LUVAS/K7/2023 RNA-dependent RNA polymerase gene, partial cds",,
PP731847.1,"1469. Mamastrovirus 3 isolate PAstV/LUVAS/H7/2023 RNA-dependent RNA polymerase gene, partial cds",414 bp linear RNA,"1469. Mamastrovirus 3 isolate PAstV/LUVAS/H7/2023 RNA-dependent RNA polymerase gene, partial cds",,
PP731846.1,"1470. Mamastrovirus 3 isolate PAstV/LUVAS/B5/2023 RNA-dependent RNA polymerase gene, partial cds",406 bp linear RNA,"1470. Mamastrovirus 3 isolate PAstV/LUVAS/B5/2023 RNA-dependent RNA polymerase gene, partial cds",,
PP707744.1,"1471. Bovine astrovirus isolate BoAstV/LUVAS/2024/ORF2/17 capsid protein mRNA, partial cds","1,049 bp linear mRNA","1471. Bovine astrovirus isolate BoAstV/LUVAS/2024/ORF2/17 capsid protein mRNA, partial cds",,
PP707743.1,"1472. Bovine astrovirus isolate BoAstV/LUVAS/2024/ORF2/13 capsid protein mRNA, partial cds","1,106 bp linear mRNA","1472. Bovine astrovirus isolate BoAstV/LUVAS/2024/ORF2/13 capsid protein mRNA, partial cds",,
PP707742.1,"1473. Mamastrovirus sp. isolate LUVAS/2024/BA-26 RNA-dependent RNA polymerase mRNA, partial cds",408 bp linear mRNA,"1473. Mamastrovirus sp. isolate LUVAS/2024/BA-26 RNA-dependent RNA polymerase mRNA, partial cds",,
PP707741.1,"1474. Mamastrovirus sp. isolate LUVAS/2024/BA-8 RNA-dependent RNA polymerase mRNA, partial cds",408 bp linear mRNA,"1474. Mamastrovirus sp. isolate LUVAS/2024/BA-8 RNA-dependent RNA polymerase mRNA, partial cds",,
PP707740.1,"1475. Bovine astrovirus isolate LUVAS/2024/BA-108 RNA-dependent RNA polymerase mRNA, partial cds",430 bp linear mRNA,"1475. Bovine astrovirus isolate LUVAS/2024/BA-108 RNA-dependent RNA polymerase mRNA, partial cds",,
PP707739.1,"1476. Bovine astrovirus isolate LUVAS/2024/BA-95 RNA-dependent RNA polymerase mRNA, partial cds",414 bp linear mRNA,"1476. Bovine astrovirus isolate LUVAS/2024/BA-95 RNA-dependent RNA polymerase mRNA, partial cds",,
PP707738.1,"1477. Bovine astrovirus isolate LUVAS/2024/BA-71 RNA-dependent RNA polymerase mRNA, partial cds",430 bp linear mRNA,"1477. Bovine astrovirus isolate LUVAS/2024/BA-71 RNA-dependent RNA polymerase mRNA, partial cds",,
PP707737.1,"1478. Bovine astrovirus isolate LUVAS/2024/BA-13 RNA-dependent RNA polymerase mRNA, partial cds",412 bp linear mRNA,"1478. Bovine astrovirus isolate LUVAS/2024/BA-13 RNA-dependent RNA polymerase mRNA, partial cds",,
OQ758054.1,"1479. Astrovirus sp. strain bovine/MAstV/TV-9738/2019-HUN capsid protein (ORF2) gene, partial cds",782 bp linear RNA,"1479. Astrovirus sp. strain bovine/MAstV/TV-9738/2019-HUN capsid protein (ORF2) gene, partial cds",,
OQ758053.1,"1480. Astrovirus sp. strain bovine/MAstV/TV-9736/2019-HUN capsid protein (ORF2) gene, partial cds",782 bp linear RNA,"1480. Astrovirus sp. strain bovine/MAstV/TV-9736/2019-HUN capsid protein (ORF2) gene, partial cds",,
OQ758052.1,"1481. Astrovirus sp. strain goat/MAstV/KT-FG-7/2020-HUN capsid protein (ORF2) gene, partial cds",824 bp linear RNA,"1481. Astrovirus sp. strain goat/MAstV/KT-FG-7/2020-HUN capsid protein (ORF2) gene, partial cds",,
OQ758051.1,"1482. Astrovirus sp. strain goat/MAstV/KT-G3/2020-HUN capsid protein (ORF2) gene, partial cds",824 bp linear RNA,"1482. Astrovirus sp. strain goat/MAstV/KT-G3/2020-HUN capsid protein (ORF2) gene, partial cds",,
OQ758050.1,"1483. Astrovirus sp. strain goat/MAstV/KT-G2/2020-HUN capsid protein (ORF2) gene, partial cds",824 bp linear RNA,"1483. Astrovirus sp. strain goat/MAstV/KT-G2/2020-HUN capsid protein (ORF2) gene, partial cds",,
OQ758049.1,"1484. Astrovirus sp. strain goat/MAstV/KT-G1/2020-HUN capsid protein (ORF2) gene, partial cds",824 bp linear RNA,"1484. Astrovirus sp. strain goat/MAstV/KT-G1/2020-HUN capsid protein (ORF2) gene, partial cds",,
OQ758048.1,"1485. Astrovirus sp. strain bovine/MAstV/TV-9738/2019-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",286 bp linear RNA,"1485. Astrovirus sp. strain bovine/MAstV/TV-9738/2019-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",,
OQ758047.1,"1486. Astrovirus sp. strain bovine/MAstV/TV-9736/2019-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",286 bp linear RNA,"1486. Astrovirus sp. strain bovine/MAstV/TV-9736/2019-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",,
OQ758046.1,"1487. Astrovirus sp. strain bovine/MAstV/TiV-GII-2/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",286 bp linear RNA,"1487. Astrovirus sp. strain bovine/MAstV/TiV-GII-2/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",,
OQ758045.1,"1488. Astrovirus sp. strain bovine/MAstV/TiV-0577/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",286 bp linear RNA,"1488. Astrovirus sp. strain bovine/MAstV/TiV-0577/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",,
OQ758044.1,"1489. Astrovirus sp. strain bovine/MAstV/NYH-3259/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",286 bp linear RNA,"1489. Astrovirus sp. strain bovine/MAstV/NYH-3259/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",,
OQ758043.1,"1490. Astrovirus sp. strain bovine/MAstV/NYH-3256/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",286 bp linear RNA,"1490. Astrovirus sp. strain bovine/MAstV/NYH-3256/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",,
OQ758042.1,"1491. Astrovirus sp. strain bovine/MAstV/HB-8066/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",286 bp linear RNA,"1491. Astrovirus sp. strain bovine/MAstV/HB-8066/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",,
OQ758041.1,"1492. Astrovirus sp. strain bovine/MAstV/HB-7398/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",286 bp linear RNA,"1492. Astrovirus sp. strain bovine/MAstV/HB-7398/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",,
OQ758040.1,"1493. Astrovirus sp. strain bovine/MAstV/HB-7394/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",286 bp linear RNA,"1493. Astrovirus sp. strain bovine/MAstV/HB-7394/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",,
OQ758039.1,"1494. Astrovirus sp. strain bovine/MAstV/DR-3/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",286 bp linear RNA,"1494. Astrovirus sp. strain bovine/MAstV/DR-3/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",,
OQ758038.1,"1495. Astrovirus sp. strain bovine/MAstV/DR-2/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",286 bp linear RNA,"1495. Astrovirus sp. strain bovine/MAstV/DR-2/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",,
OQ758037.1,"1496. Astrovirus sp. strain bovine/MAstV/BH-9963/2019-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",286 bp linear RNA,"1496. Astrovirus sp. strain bovine/MAstV/BH-9963/2019-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",,
OQ758036.1,"1497. Astrovirus sp. strain bovine/MAstV/BH-9854/2019-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",286 bp linear RNA,"1497. Astrovirus sp. strain bovine/MAstV/BH-9854/2019-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",,
OQ758035.1,"1498. Astrovirus sp. strain ovine/MAstV/TB5/2010-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",286 bp linear RNA,"1498. Astrovirus sp. strain ovine/MAstV/TB5/2010-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",,
OQ758034.1,"1499. Astrovirus sp. strain ovine/MAstV/TB2/2010-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",286 bp linear RNA,"1499. Astrovirus sp. strain ovine/MAstV/TB2/2010-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",,
OQ758033.1,"1500. Astrovirus sp. strain ovine/MAstV/HBSz-GI-4/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",286 bp linear RNA,"1500. Astrovirus sp. strain ovine/MAstV/HBSz-GI-4/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",,
OQ758032.1,"1501. Astrovirus sp. strain ovine/MAstV/HBSz-GI-3/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",286 bp linear RNA,"1501. Astrovirus sp. strain ovine/MAstV/HBSz-GI-3/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",,
OQ758031.1,"1502. Astrovirus sp. strain goat/MAstV/KT-G2/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",286 bp linear RNA,"1502. Astrovirus sp. strain goat/MAstV/KT-G2/2020-HUN RNA-dependent RNA polymerase (ORF1ab) gene, partial cds",,
OQ758025.1,"1503. Astrovirus sp. strain goat/MAstV/KT-G5/2020-HUN, complete genome","6,250 bp linear RNA","1503. Astrovirus sp. strain goat/MAstV/KT-G5/2020-HUN, complete genome",,
PP531440.1,1504. MAG: Marmot astrovirus isolate MCAsV/XJ84C/CHN/2016 genomic sequence,"6,694 bp linear RNA",1504. MAG: Marmot astrovirus isolate MCAsV/XJ84C/CHN/2016 genomic sequence,,
PP531439.1,1505. MAG: Marmot astrovirus isolate MCAsV/XJ79C/CHN/2016 genomic sequence,"6,381 bp linear RNA",1505. MAG: Marmot astrovirus isolate MCAsV/XJ79C/CHN/2016 genomic sequence,,
PP531438.1,1506. MAG: Marmot astrovirus isolate MCAsV/XJ65C/CHN/2016 genomic sequence,"6,763 bp linear RNA",1506. MAG: Marmot astrovirus isolate MCAsV/XJ65C/CHN/2016 genomic sequence,,
PP531437.1,1507. MAG: Marmot astrovirus isolate MCAsV/XJ52C/CHN/2016 genomic sequence,"6,567 bp linear RNA",1507. MAG: Marmot astrovirus isolate MCAsV/XJ52C/CHN/2016 genomic sequence,,
PP531436.1,1508. MAG: Marmot astrovirus isolate MCAsV/XJ30C/CHN/2016 genomic sequence,"6,653 bp linear RNA",1508. MAG: Marmot astrovirus isolate MCAsV/XJ30C/CHN/2016 genomic sequence,,
PP531435.1,1509. MAG: Marmot astrovirus isolate MCAsV/XJ21C/CHN/2016 genomic sequence,"6,650 bp linear RNA",1509. MAG: Marmot astrovirus isolate MCAsV/XJ21C/CHN/2016 genomic sequence,,
PP531434.1,1510. MAG: Marmot astrovirus isolate MCAsV/XJ1C/CHN/2016 genomic sequence,"6,725 bp linear RNA",1510. MAG: Marmot astrovirus isolate MCAsV/XJ1C/CHN/2016 genomic sequence,,
PP174209.1,1511. MAG: Sopitep virus isolate SP2C_k141_91606 genomic sequence,"1,183 bp linear RNA",1511. MAG: Sopitep virus isolate SP2C_k141_91606 genomic sequence,,
PP174201.1,1512. MAG: Sopitred virus isolate SP2C_k141_173245 genomic sequence,"2,039 bp linear RNA",1512. MAG: Sopitred virus isolate SP2C_k141_173245 genomic sequence,,
PP174197.1,1513. MAG: Sopicas virus isolate SP2C_k141_157132 genomic sequence,"1,931 bp linear RNA",1513. MAG: Sopicas virus isolate SP2C_k141_157132 genomic sequence,,
PP174176.1,1514. MAG: Sopiway virus isolate SP2B_k141_169106 genomic sequence,"1,412 bp linear RNA",1514. MAG: Sopiway virus isolate SP2B_k141_169106 genomic sequence,,
PP174162.1,1515. MAG: Sopivec virus isolate SP2B_k141_107145 genomic sequence,657 bp linear RNA,1515. MAG: Sopivec virus isolate SP2B_k141_107145 genomic sequence,,
PP174151.1,1516. MAG: Sopifaz virus isolate SP2A_k141_7423 genomic sequence,"1,476 bp linear RNA",1516. MAG: Sopifaz virus isolate SP2A_k141_7423 genomic sequence,,
PP174138.1,1517. MAG: Sopinyg virus isolate SP2A_k141_35481 genomic sequence,964 bp linear RNA,1517. MAG: Sopinyg virus isolate SP2A_k141_35481 genomic sequence,,
PP174099.1,1518. MAG: Sopisen virus isolate SP1C_k141_286028 genomic sequence,"2,273 bp linear RNA",1518. MAG: Sopisen virus isolate SP1C_k141_286028 genomic sequence,,
PP174094.1,1519. MAG: Sopikyz virus isolate SP1C_k141_272984 genomic sequence,"2,682 bp linear RNA",1519. MAG: Sopikyz virus isolate SP1C_k141_272984 genomic sequence,,
PP174089.1,1520. MAG: Sopimyn virus isolate SP1C_k141_256458 genomic sequence,"2,123 bp linear RNA",1520. MAG: Sopimyn virus isolate SP1C_k141_256458 genomic sequence,,
PP174052.1,1521. MAG: Sopigof virus isolate SP1C_k141_170176 genomic sequence,"5,160 bp linear RNA",1521. MAG: Sopigof virus isolate SP1C_k141_170176 genomic sequence,,
PP174037.1,1522. MAG: Sopises virus isolate SP1C_k141_138402 genomic sequence,"2,801 bp linear RNA",1522. MAG: Sopises virus isolate SP1C_k141_138402 genomic sequence,,
PP174020.1,1523. MAG: Sopideg virus isolate SP1B_k141_83016 genomic sequence,"1,140 bp linear RNA",1523. MAG: Sopideg virus isolate SP1B_k141_83016 genomic sequence,,
PP173978.1,1524. MAG: Sopimin virus isolate SP1B_k141_199511 genomic sequence,"4,214 bp linear RNA",1524. MAG: Sopimin virus isolate SP1B_k141_199511 genomic sequence,,
PP173959.1,1525. MAG: Sopiboz virus isolate SP1B_k141_111077 genomic sequence,"7,082 bp linear RNA",1525. MAG: Sopiboz virus isolate SP1B_k141_111077 genomic sequence,,
PP173952.1,1526. MAG: Sopidep virus isolate SP1A_k141_93956 genomic sequence,"4,899 bp linear RNA",1526. MAG: Sopidep virus isolate SP1A_k141_93956 genomic sequence,,
PP173914.1,1527. MAG: Sopibas virus isolate SP1A_k141_13111 genomic sequence,"2,864 bp linear RNA",1527. MAG: Sopibas virus isolate SP1A_k141_13111 genomic sequence,,
